domain_id	Clan_pfam	Function_pfam	Gene_pfam	alignment_length	bit_score
PF00381		PTS HPr component phosphorylation site	PTS-HPr	82.0	108.23
PF06124	CL0768	Staphylococcal protein of unknown function (DUF960)	DUF960	93.0	26.31
PF13460	CL0063	NAD(P)H-binding 	NAD_binding_10	192.0	49.95
PF12706	CL0381	Beta-lactamase superfamily domain	Lactamase_B_2	183.0	66.58
PF07963		Prokaryotic N-terminal methylation motif	N_methyl	27.0	27.14
PF00253		Ribosomal protein S14p/S29e	Ribosomal_S14	52.0	90.4
PF10110		Membrane domain of glycerophosphoryl diester phosphodiesterase	GPDPase_memb	331.0	270.13
PF03608		PTS system enzyme II sorbitol-specific factor	EII-GUT	167.0	243.26
PF05128		Domain of unknown function (DUF697) 	DUF697	156.0	38.33
PF01012	CL0039	Electron transfer flavoprotein domain	ETF	166.0	79.0
PF00009	CL0023	Elongation factor Tu GTP binding domain	GTP_EFTU	181.0	186.86
PF19187	CL0123	PafC helix-turn-helix domain	HTH_PafC	107.0	23.32
PF02449	CL0036	Beta-galactosidase	Glyco_hydro_42	373.0	486.72
PF00117	CL0014	Glutamine amidotransferase class-I	GATase	184.0	163.36
PF00920		Dehydratase family	ILVD_EDD	521.0	729.14
PF01817		Chorismate mutase type II	CM_2	78.0	70.87
PF00933	CL0036	Glycosyl hydrolase family 3 N terminal domain	Glyco_hydro_3	313.0	220.21
PF03483	CL0383	B3/4 domain	B3_4	162.0	97.46
PF01432	CL0126	Peptidase family M3	Peptidase_M3	386.0	81.49
PF13545	CL0123	Crp-like helix-turn-helix domain	HTH_Crp_2	73.0	26.62
PF00344	CL0376	SecY	SecY	347.0	369.18
PF00970	CL0105	Oxidoreductase FAD-binding domain	FAD_binding_6	93.0	25.53
PF04307	CL0368	LexA-binding, inner membrane-associated putative hydrolase	YdjM	169.0	93.42
PF00204	CL0329	DNA gyrase B	DNA_gyraseB	171.0	222.62
PF04536	CL0063	TPM domain	TPM_phosphatase	120.0	82.11
PF10978		Protein of unknown function (DUF2785)	DUF2785	171.0	78.35
PF07479	CL0106	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus	NAD_Gly3P_dh_C	142.0	186.68
PF00085	CL0172	Thioredoxin	Thioredoxin	99.0	41.64
PF13407	CL0144	Periplasmic binding protein domain	Peripla_BP_4	200.0	34.03
PF13483	CL0381	Beta-lactamase superfamily domain	Lactamase_B_3	192.0	87.45
PF19276		HD associated region	HD_assoc_2	215.0	12.92
PF00575	CL0021	S1 RNA binding domain	S1	74.0	65.59
PF00578	CL0172	AhpC/TSA family	AhpC-TSA	131.0	124.29
PF00268	CL0044	Ribonucleotide reductase, small chain	Ribonuc_red_sm	273.0	318.6
PF09035	CL0123	Excisionase from transposon Tn916	Tn916-Xis	67.0	70.18
PF00027	CL0029	Cyclic nucleotide-binding domain	cNMP_binding	89.0	47.95
PF01899		Na+/H+ ion antiporter subunit	MNHE	150.0	109.99
PF02775	CL0254	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	TPP_enzyme_C	149.0	182.38
PF08349		Protein of unknown function (DUF1722)	DUF1722	111.0	75.97
PF13421	CL0433	SPFH domain-Band 7 family	Band_7_1	224.0	50.97
PF01940		Integral membrane protein DUF92	DUF92	244.0	184.0
PF02635	CL0394	DsrE/DsrF-like family	DsrE	95.0	25.26
PF13456	CL0219	Reverse transcriptase-like	RVT_3	122.0	47.96
PF00462	CL0172	Glutaredoxin	Glutaredoxin	57.0	50.39
PF19293		CdaA N-terminal transmembrane domain	CdaA_N	77.0	29.94
PF05175	CL0063	Methyltransferase small domain	MTS	164.0	135.86
PF04464	CL0113	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase 	Glyphos_transf	361.0	192.23
PF02446	CL0036	4-alpha-glucanotransferase	Glyco_hydro_77	470.0	590.09
PF01196		Ribosomal protein L17	Ribosomal_L17	120.0	127.44
PF01625		Peptide methionine sulfoxide reductase	PMSR	153.0	208.29
PF01746	CL0098	tRNA (Guanine-1)-methyltransferase	tRNA_m1G_MT	200.0	209.59
PF00842	CL0105	Alanine racemase, C-terminal domain	Ala_racemase_C	125.0	142.72
PF14262	CL0268	Carbohydrate-binding domain-containing protein Cthe_2159	Cthe_2159	435.0	141.0
PF00708	CL0622	Acylphosphatase	Acylphosphatase	86.0	90.35
PF01386	CL0733	Ribosomal L25p family	Ribosomal_L25p	87.0	57.28
PF00665	CL0219	Integrase core domain	rve	98.0	62.6
PF18041		MapZ extracellular domain 1	MapZ_EC1	129.0	84.3
PF01343	CL0127	Peptidase family S49	Peptidase_S49	154.0	160.53
PF00725	CL0106	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain	3HCDH	97.0	118.29
PF09371		Tex-like protein N-terminal domain	Tex_N	185.0	239.58
PF08877	CL0236	MepB-like	MepB-like	122.0	154.99
PF10141		Single-strand DNA-specific exonuclease, C terminal domain	ssDNA-exonuc_C	197.0	177.65
PF08264	CL0258	Anticodon-binding domain of tRNA ligase	Anticodon_1	147.0	140.28
PF03830		PTS system sorbose subfamily IIB component	PTSIIB_sorb	154.0	133.85
PF12848	CL0023	ABC transporter	ABC_tran_Xtn	87.0	87.65
PF00682	CL0036	HMGL-like	HMGL-like	270.0	323.04
PF04545	CL0123	Sigma-70, region 4	Sigma70_r4	50.0	59.06
PF08244	CL0004	Glycosyl hydrolases family 32 C terminal	Glyco_hydro_32C	145.0	37.89
PF01738	CL0028	Dienelactone hydrolase family	DLH	188.0	70.44
PF11187	CL0028	Mbeg1-like	Mbeg1-like	225.0	274.66
PF00574	CL0127	Clp protease	CLP_protease	182.0	292.9
PF08275	CL0748	DNA primase catalytic core, N-terminal domain	DNAG_N	133.0	134.88
PF10369	CL0070	Small subunit of acetolactate synthase	ALS_ss_C	74.0	94.61
PF08951		Enterocin A Immunity	EntA_Immun	78.0	47.16
PF01263	CL0103	Aldose 1-epimerase	Aldose_epim	318.0	208.57
PF01641	CL0080	SelR domain	SelR	121.0	164.34
PF02817		e3 binding domain	E3_binding	72.0	51.58
PF07949		YbbR-like protein	YbbR	249.0	34.06
PF01154	CL0046	Hydroxymethylglutaryl-coenzyme A synthase N terminal	HMG_CoA_synt_N	167.0	51.57
PF14567	CL0526	SMI1-KNR4 cell-wall	SUKH_5	129.0	85.97
PF13365	CL0124	Trypsin-like peptidase domain	Trypsin_2	151.0	32.51
PF01790		Prolipoprotein diacylglyceryl transferase	LGT	244.0	262.61
PF00724	CL0036	NADH:flavin oxidoreductase / NADH oxidase family	Oxidored_FMN	332.0	174.52
PF02229	CL0609	Transcriptional Coactivator p15 (PC4)	PC4	50.0	45.88
PF02867	CL0339	Ribonucleotide reductase, barrel domain	Ribonuc_red_lgC	530.0	534.56
PF02581	CL0036	Thiamine monophosphate synthase	TMP-TENI	181.0	199.2
PF04304		Protein of unknown function (DUF454)	DUF454	115.0	134.21
PF04740	CL0352	LXG domain of WXG superfamily	LXG	194.0	72.16
PF00702	CL0137	haloacid dehalogenase-like hydrolase	Hydrolase	192.0	45.5
PF05239	CL0350	PRC-barrel domain	PRC	76.0	59.47
PF01144	CL0063	Coenzyme A transferase	CoA_trans	198.0	134.63
PF13193	CL0531	AMP-binding enzyme C-terminal domain	AMP-binding_C	80.0	42.07
PF03358	CL0042	NADPH-dependent FMN reductase	FMN_red	148.0	123.5
PF01883	CL0232	Iron-sulfur cluster assembly protein	FeS_assembly_P	76.0	80.16
PF10588		NADH-ubiquinone oxidoreductase-G iron-sulfur binding region	NADH-G_4Fe-4S_3	41.0	36.84
PF06800	CL0184	Sugar transport protein	Sugar_transport	280.0	243.5
PF02361		Cobalt transport protein	CbiQ	225.0	188.03
PF01039	CL0127	Carboxyl transferase domain	Carboxyl_trans	199.0	53.21
PF00370	CL0108	FGGY family of carbohydrate kinases, N-terminal domain	FGGY_N	216.0	44.52
PF00015		Methyl-accepting chemotaxis protein (MCP) signalling domain	MCPsignal	412.0	45.65
PF00590		Tetrapyrrole (Corrin/Porphyrin) Methylases	TP_methylase	201.0	105.59
PF01042	CL0534	Endoribonuclease L-PSP	Ribonuc_L-PSP	118.0	147.2
PF00107	CL0063	Zinc-binding dehydrogenase	ADH_zinc_N	156.0	27.55
PF00355	CL0516	Rieske [2Fe-2S] domain	Rieske	84.0	46.82
PF00815	CL0099	Histidinol dehydrogenase	Histidinol_dh	405.0	570.71
PF20990		Predicted membrane protein (DUF2207) C-terminal domain	DUF2207_C	257.0	130.3
PF00408		Phosphoglucomutase/phosphomannomutase, C-terminal domain	PGM_PMM_IV	72.0	73.31
PF01609	CL0219	Transposase DDE domain	DDE_Tnp_1	241.0	83.65
PF13382		Adenine deaminase C-terminal domain	Adenine_deam_C	172.0	204.06
PF03883	CL0771	Peroxide stress protein YaaA	H2O2_YaaD	235.0	274.07
PF09827	CL0728	CRISPR associated protein Cas2	CRISPR_Cas2	80.0	51.04
PF01565	CL0077	FAD binding domain 	FAD_binding_4	131.0	89.55
PF02632	CL0315	BioY family	BioY	141.0	126.13
PF03069		Acetamidase/Formamidase family	FmdA_AmdA	287.0	36.83
PF05437		Branched-chain amino acid transport protein (AzlD)	AzlD	99.0	88.4
PF02683	CL0292	Cytochrome C biogenesis protein transmembrane region	DsbD	206.0	158.75
PF19804		Domain of unknown function (DUF6287)	DUF6287	34.0	38.81
PF00923	CL0036	Transaldolase/Fructose-6-phosphate aldolase	TAL_FSA	218.0	142.23
PF01613	CL0336	Flavin reductase like domain	Flavin_Reduct	161.0	71.93
PF13367	CL0472	PrsW family intramembrane metalloprotease	PrsW-protease	194.0	73.51
PF00300	CL0071	Histidine phosphatase superfamily (branch 1)	His_Phos_1	176.0	90.45
PF12844	CL0123	Helix-turn-helix domain	HTH_19	62.0	29.05
PF13125		Protein of unknown function (DUF3958)	DUF3958	105.0	36.01
PF00679	CL0437	Elongation factor G C-terminus	EFG_C	90.0	85.75
PF13238	CL0023	AAA domain	AAA_18	139.0	29.46
PF01895	CL0297	PhoU domain	PhoU	86.0	49.24
PF01597	CL0105	Glycine cleavage H-protein	GCV_H	121.0	148.18
PF05681		Fumarate hydratase (Fumerase)	Fumerase	272.0	255.25
PF10431	CL0671	C-terminal, D2-small domain, of ClpB protein 	ClpB_D2-small	81.0	76.28
PF01132	CL0021	Elongation factor P (EF-P) OB domain	EFP	54.0	72.61
PF17755		UvrA DNA-binding domain	UvrA_DNA-bind	118.0	64.75
PF00155	CL0061	Aminotransferase class I and II	Aminotran_1_2	357.0	147.74
PF06133		Control of competence regulator ComK, YlbF/YmcA	Com_YlbF	105.0	96.29
PF06224	CL0123	DNA glycosylase AlkZ-like	AlkZ-like	321.0	130.48
PF13671	CL0023	AAA domain	AAA_33	143.0	73.9
PF01063		Amino-transferase class IV	Aminotran_4	224.0	164.12
PF08439		Oligopeptidase F	Peptidase_M3_N	68.0	53.29
PF00406	CL0023	Adenylate kinase	ADK	187.0	207.58
PF11313	CL0123	Protein of unknown function (DUF3116)	DUF3116	83.0	43.34
PF01915		Glycosyl hydrolase family 3 C-terminal domain	Glyco_hydro_3_C	231.0	175.12
PF10417		C-terminal domain of 1-Cys peroxiredoxin	1-cysPrx_C	31.0	23.88
PF16957	CL0063	Malonate decarboxylase, alpha subunit, transporter	Mal_decarbox_Al	541.0	989.62
PF20703	CL0023	Novel STAND NTPase 1	nSTAND1	107.0	15.5
PF02863	CL0738	Arginine repressor, C-terminal domain	Arg_repressor_C	68.0	80.19
PF00893	CL0184	Small Multidrug Resistance protein	Multi_Drug_Res	93.0	100.29
PF13509	CL0021	S1 domain	S1_2	56.0	40.4
PF01048	CL0408	Phosphorylase superfamily	PNP_UDP_1	223.0	151.04
PF02288		Dehydratase medium subunit	Dehydratase_MU	105.0	93.18
PF00717	CL0299	Peptidase S24-like	Peptidase_S24	113.0	111.37
PF00156	CL0533	Phosphoribosyl transferase domain	Pribosyltran	140.0	61.68
PF00672	CL0681	HAMP domain	HAMP	56.0	24.63
PF13783		Domain of unknown function (DUF4177)	DUF4177	64.0	27.8
PF01053	CL0061	Cys/Met metabolism PLP-dependent enzyme	Cys_Met_Meta_PP	417.0	467.77
PF17961	CL0159	Bacterial Ig domain	Big_8	98.0	32.82
PF01391		Collagen triple helix repeat (20 copies)	Collagen	331.0	23.38
PF10531	CL0072	SLBB domain	SLBB	48.0	35.57
PF09711	CL0023	CRISPR-associated protein (Cas_Csn2)	Cas_Csn2	176.0	201.81
PF08678	CL0090	Rsbr N terminal	Rsbr_N	131.0	120.47
PF06738	CL0470	Putative threonine/serine exporter	ThrE	239.0	238.52
PF01288		7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)	HPPK	129.0	144.72
PF13534	CL0344	4Fe-4S dicluster domain	Fer4_17	67.0	53.66
PF06277	CL0108	Ethanolamine utilisation protein EutA	EutA	474.0	668.84
PF09972	CL0672	Predicted membrane protein (DUF2207) N-terminal domain	DUF2207	188.0	71.42
PF00579	CL0039	tRNA synthetases class I (W and Y)	tRNA-synt_1b	298.0	287.93
PF12679	CL0181	ABC-2 family transporter protein	ABC2_membrane_2	245.0	32.12
PF13237	CL0344	4Fe-4S dicluster domain	Fer4_10	75.0	20.43
PF08353		MurT ligase C-terminal	MurT_C	111.0	114.6
PF21426	CL0159	Tip pilin GBS104-like, Ig-like domain	GBS104-like_Ig	138.0	25.89
PF00543	CL0089	Nitrogen regulatory protein P-II	P-II	109.0	120.05
PF08341		Thioester domain	TED	126.0	34.5
PF19258		KxYKxGKxW signal peptide	KxYKxGKxW_sig	41.0	30.14
PF00912	CL0037	Transglycosylase	Transgly	179.0	201.13
PF00485	CL0023	Phosphoribulokinase / Uridine kinase family	PRK	187.0	158.83
PF03952	CL0227	Enolase, N-terminal domain	Enolase_N	131.0	206.99
PF00690		Cation transporter/ATPase, N-terminus	Cation_ATPase_N	68.0	63.47
PF02920	CL0081	DNA binding domain of tn916 integrase	Integrase_DNA	71.0	92.83
PF06580		Histidine kinase	His_kinase	79.0	85.57
PF07690	CL0015	Major Facilitator Superfamily	MFS_1	334.0	110.39
PF06026	CL0063	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)	Rib_5-P_isom_A	169.0	198.79
PF00342	CL0067	Phosphoglucose isomerase	PGI	372.0	88.14
PF13280	CL0654	WYL domain	WYL	170.0	32.86
PF13662	CL0413	Toprim domain	Toprim_4	92.0	87.94
PF01418	CL0123	Helix-turn-helix domain, rpiR family	HTH_6	77.0	66.63
PF00005	CL0023	ABC transporter	ABC_tran	142.0	114.66
PF00884	CL0088	Sulfatase	Sulfatase	301.0	124.78
PF13273	CL0347	Protein of unknown function (DUF4064)	DUF4064	138.0	43.28
PF15983		Domain of unknown function (DUF4767)	DUF4767	135.0	125.42
PF06445	CL0319	GyrI-like small molecule binding domain	GyrI-like	87.0	28.4
PF01894		Uncharacterised protein family UPF0047	UPF0047	148.0	98.04
PF12705	CL0236	PD-(D/E)XK nuclease superfamily	PDDEXK_1	282.0	108.96
PF10410		DnaB-helicase binding domain of primase	DnaB_bind	56.0	29.19
PF02223	CL0023	Thymidylate kinase	Thymidylate_kin	192.0	176.96
PF01547	CL0177	Bacterial extracellular solute-binding protein	SBP_bac_1	290.0	97.36
PF00909		Ammonium Transporter Family	Ammonium_transp	396.0	411.88
PF00580	CL0023	UvrD/REP helicase N-terminal domain	UvrD-helicase	340.0	71.28
PF03719	CL0329	Ribosomal protein S5, C-terminal domain	Ribosomal_S5_C	71.0	100.45
PF03831	CL0010	PhnA domain	YjdM	68.0	109.59
PF07739		TipAS antibiotic-recognition domain	TipAS	116.0	102.27
PF01568	CL0199	Molydopterin dinucleotide binding domain	Molydop_binding	109.0	74.29
PF10439	CL0400	Bacteriocin class II with double-glycine leader peptide	Bacteriocin_IIc	58.0	36.22
PF01874		ATP:dephospho-CoA triphosphoribosyl transferase 	CitG	256.0	216.64
PF03551	CL0123	Transcriptional regulator PadR-like family	PadR	69.0	60.55
PF17757	CL0664	UvrB interaction domain	UvrB_inter	91.0	116.24
PF09992		Phosphodiester glycosidase	NAGPA	185.0	144.35
PF00654		Voltage gated chloride channel	Voltage_CLC	346.0	278.41
PF00133	CL0039	tRNA synthetases class I (I, L, M and V)	tRNA-synt_1	549.0	284.78
PF09954		Uncharacterized protein conserved in bacteria (DUF2188)	DUF2188	57.0	32.18
PF02308		MgtC family	MgtC	131.0	136.59
PF04309	CL0036	Glycerol-3-phosphate responsive antiterminator	G3P_antiterm	173.0	208.26
PF16718		Immunity factor for SPN	IFS	158.0	175.03
PF04230	CL0113	Polysaccharide pyruvyl transferase	PS_pyruv_trans	288.0	66.22
PF02826	CL0063	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	2-Hacid_dh_C	176.0	168.97
PF08502		LeuA allosteric (dimerisation) domain	LeuA_dimer	133.0	102.95
PF01112	CL0052	Asparaginase	Asparaginase_2	282.0	203.28
PF13560	CL0123	Helix-turn-helix domain	HTH_31	53.0	24.29
PF10458	CL0298	Valyl tRNA synthetase tRNA binding arm	Val_tRNA-synt_C	66.0	61.96
PF02824	CL0072	TGS domain	TGS	60.0	54.16
PF04198	CL0063	Putative sugar-binding domain	Sugar-bind	256.0	244.3
PF03319	CL0021	Ethanolamine utilisation protein EutN/carboxysome	EutN_CcmL	86.0	92.6
PF01832	CL0037	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	Glucosaminidase	130.0	136.94
PF07724	CL0023	AAA domain (Cdc48 subfamily)	AAA_2	167.0	228.16
PF00482		Type II secretion system (T2SS), protein F	T2SSF	124.0	128.6
PF13510	CL0486	2Fe-2S iron-sulfur cluster binding domain	Fer2_4	77.0	55.33
PF06210		Protein of unknown function (DUF1003)	DUF1003	103.0	135.9
PF12822	CL0315	ECF transporter, substrate-specific component	ECF_trnsprt	179.0	91.78
PF01176	CL0021	Translation initiation factor 1A / IF-1	eIF-1a	64.0	97.99
PF02028	CL0062	BCCT, betaine/carnitine/choline family transporter	BCCT	482.0	611.48
PF08534	CL0172	Redoxin	Redoxin	141.0	94.46
PF01193	CL0509	RNA polymerase Rpb3/Rpb11 dimerisation domain	RNA_pol_L	196.0	91.19
PF01018		GTP1/OBG	GTP1_OBG	155.0	212.5
PF07883	CL0029	Cupin domain	Cupin_2	64.0	33.51
PF01259		SAICAR synthetase	SAICAR_synt	217.0	124.11
PF00589	CL0382	Phage integrase family	Phage_integrase	198.0	151.72
PF00596		Class II Aldolase and Adducin N-terminal domain	Aldolase_II	227.0	94.85
PF06486		Protein of unknown function (DUF1093)	DUF1093	84.0	77.61
PF03807	CL0063	NADP oxidoreductase coenzyme F420-dependent	F420_oxidored	96.0	69.21
PF02311	CL0029	AraC-like ligand binding domain	AraC_binding	131.0	43.02
PF08546	CL0106	Ketopantoate reductase PanE/ApbA C terminal	ApbA_C	128.0	95.0
PF00270	CL0023	DEAD/DEAH box helicase	DEAD	164.0	135.18
PF01061	CL0181	ABC-2 type transporter	ABC2_membrane	213.0	133.67
PF02913	CL0277	FAD linked oxidases, C-terminal domain	FAD-oxidase_C	255.0	78.29
PF07497	CL0021	Rho termination factor, RNA-binding domain	Rho_RNA_bind	74.0	105.11
PF08124	CL0059	Polysaccharide lyase family 8, N terminal alpha-helical domain	Lyase_8_N	346.0	327.76
PF03272		Putative mucin or carbohydrate-binding module	Mucin_bdg	117.0	61.84
PF00255	CL0172	Glutathione peroxidase	GSHPx	108.0	129.18
PF01593	CL0063	Flavin containing amine oxidoreductase	Amino_oxidase	447.0	158.81
PF07702	CL0122	UTRA domain	UTRA	140.0	105.82
PF00334		Nucleoside diphosphate kinase	NDK	137.0	169.9
PF01139		tRNA-splicing ligase RtcB	RtcB	137.0	33.48
PF03180	CL0177	NlpA lipoprotein	Lipoprotein_9	238.0	289.2
PF13476	CL0023	AAA domain	AAA_23	135.0	5.93
PF19269		Anticodon binding domain	Anticodon_2	143.0	89.31
PF14341		PilX N-terminal	PilX_N	51.0	36.2
PF01145	CL0433	SPFH domain / Band 7 family	Band_7	175.0	104.87
PF00440	CL0123	Bacterial regulatory proteins, tetR family	TetR_N	47.0	39.44
PF16916		Dimerisation domain of Zinc Transporter	ZT_dimer	79.0	72.61
PF02517	CL0472	Type II CAAX prenyl endopeptidase Rce1-like	Rce1-like	97.0	54.56
PF08459	CL0219	UvrC RNAse H endonuclease domain	UvrC_RNaseH_dom	154.0	183.67
PF02899	CL0469	Phage integrase, N-terminal SAM-like domain	Phage_int_SAM_1	84.0	76.13
PF00936		BMC domain	BMC	85.0	31.83
PF00251	CL0143	Glycosyl hydrolases family 32 N-terminal domain	Glyco_hydro_32N	306.0	348.28
PF01230	CL0265	HIT domain	HIT	99.0	86.58
PF13514	CL0023	AAA domain	AAA_27	205.0	72.16
PF00203		Ribosomal protein S19	Ribosomal_S19	81.0	132.26
PF00275	CL0290	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	EPSP_synthase	400.0	307.99
PF04854		Protein of unknown function, DUF624	DUF624	76.0	37.84
PF07663		Sorbitol phosphotransferase enzyme II C-terminus	EIIBC-GUT_C	93.0	148.48
PF07751		Abi-like protein	Abi_2	184.0	163.28
PF07685	CL0014	CobB/CobQ-like glutamine amidotransferase domain	GATase_3	197.0	147.59
PF00343	CL0113	Carbohydrate phosphorylase	Phosphorylase	674.0	860.47
PF01812	CL0063	5-formyltetrahydrofolate cyclo-ligase family	5-FTHF_cyc-lig	174.0	168.01
PF08543	CL0118	Phosphomethylpyrimidine kinase	Phos_pyr_kin	245.0	325.13
PF07927		HicA toxin of bacterial toxin-antitoxin, 	HicA_toxin	58.0	64.43
PF00542		Ribosomal protein L7/L12 C-terminal domain	Ribosomal_L12	67.0	101.54
PF12643	CL0231	MazG-like family	MazG-like	72.0	78.26
PF00298		Ribosomal protein L11, RNA binding domain	Ribosomal_L11	69.0	113.32
PF14659	CL0469	Phage integrase, N-terminal SAM-like domain	Phage_int_SAM_3	58.0	59.95
PF12833	CL0123	Helix-turn-helix domain	HTH_18	80.0	70.69
PF05532	CL0406	CsbD-like	CsbD	53.0	58.31
PF09659	CL0236	CRISPR-associated protein (Cas_Csm6)	Cas_Csm6	251.0	90.33
PF12802	CL0123	MarR family	MarR_2	50.0	23.34
PF15953		Putative propanediol utilisation	PDU_like	155.0	123.27
PF02302	CL0031	PTS system, Lactose/Cellobiose specific IIB subunit	PTS_IIB	93.0	67.19
PF12146	CL0028	Serine aminopeptidase, S33	Hydrolase_4	227.0	24.99
PF01807	CL0167	CHC2 zinc finger	zf-CHC2	99.0	127.8
PF03123		CAT RNA binding domain	CAT_RBD	55.0	55.43
PF09669		Phage regulatory protein Rha (Phage_pRha)	Phage_pRha	86.0	62.1
PF13083	CL0007	KhpA/KhpB, KH domain	KhpA-B_KH	73.0	68.06
PF01450	CL0106	Acetohydroxy acid isomeroreductase, catalytic domain	IlvC	144.0	219.53
PF17674	CL0198	HHH domain	HHH_9	73.0	75.07
PF02901	CL0339	Pyruvate formate lyase-like	PFL-like	654.0	737.21
PF01869	CL0108	BadF/BadG/BcrA/BcrD ATPase family	BcrAD_BadFG	300.0	129.72
PF00958		GMP synthase C terminal domain	GMP_synt_C	92.0	148.88
PF02255		PTS system, Lactose/Cellobiose specific IIA subunit	PTS_IIA	94.0	122.92
PF00561	CL0028	alpha/beta hydrolase fold	Abhydrolase_1	251.0	116.39
PF14145		YrhK-like protein	YrhK	57.0	61.25
PF11694		Protein of unknown function (DUF3290)	DUF3290	144.0	182.98
PF13800		Sigma factor regulator N-terminal	Sigma_reg_N	90.0	46.48
PF00480	CL0108	ROK family	ROK	291.0	177.5
PF05985		Ethanolamine ammonia-lyase light chain (EutC)	EutC	230.0	293.08
PF01180	CL0036	Dihydroorotate dehydrogenase	DHO_dh	153.0	10.89
PF01872	CL0387	RibD C-terminal domain	RibD_C	167.0	79.79
PF02588	CL0181	Uncharacterised 5xTM membrane BCR, YitT family COG1284	YitT_membrane	203.0	194.15
PF14714		KH-domain-like of EngA bacterial GTPase enzymes, C-terminal	KH_dom-like	81.0	113.78
PF13088	CL0186	BNR repeat-like domain	BNR_2	316.0	8.01
PF12631		MnmE helical domain	MnmE_helical	326.0	208.15
PF04237	CL0631	YjbR	YjbR	103.0	52.21
PF00383	CL0109	Cytidine and deoxycytidylate deaminase zinc-binding region	dCMP_cyt_deam_1	110.0	25.46
PF13732		Domain of unknown function (DUF4162)	DUF4162	80.0	50.23
PF03382	CL0022	Mycoplasma protein of unknown function, DUF285	DUF285	194.0	18.07
PF00586		AIR synthase related protein, N-terminal domain	AIRS	113.0	78.42
PF08713	CL0020	DNA alkylation repair enzyme	DNA_alkylation	213.0	221.38
PF12010		Domain of unknown function (DUF3502)	DUF3502	69.0	99.56
PF04079	CL0123	Segregation and condensation complex subunit ScpB	SMC_ScpB	162.0	189.3
PF21783	CL0186	YNCE-like beta-propeller	YNCE	274.0	19.3
PF03372	CL0530	Endonuclease/Exonuclease/phosphatase family	Exo_endo_phos	242.0	120.14
PF02056	CL0063	Family 4 glycosyl hydrolase	Glyco_hydro_4	181.0	220.53
PF09512	CL0315	Thiamine-precursor transporter protein (ThiW)	ThiW	148.0	150.1
PF09335		SNARE associated Golgi protein	SNARE_assoc	120.0	68.54
PF00781	CL0240	Diacylglycerol kinase catalytic domain	DAGK_cat	124.0	89.92
PF04239		YetF C-terminal domain	DUF421	120.0	134.21
PF02224	CL0023	Cytidylate kinase	Cytidylate_kin	215.0	265.54
PF01503	CL0231	Phosphoribosyl-ATP pyrophosphohydrolase	PRA-PH	86.0	63.81
PF00817		impB/mucB/samB family	IMS	151.0	170.76
PF00905	CL0013	Penicillin binding protein transpeptidase domain	Transpeptidase	275.0	118.18
PF08343		Ribonucleotide reductase N-terminal	RNR_N	81.0	92.77
PF16325	CL0105	Peptidase family U32 C-terminal domain	Peptidase_U32_C	83.0	86.49
PF00230	CL0716	Major intrinsic protein	MIP	231.0	137.11
PF00140		Sigma-70 factor, region 1.2	Sigma70_r1_2	34.0	59.8
PF13630		SdpI/YfhL protein family	SdpI	75.0	38.68
PF01243	CL0336	Pyridoxamine 5'-phosphate oxidase	Putative_PNPOx	84.0	31.48
PF06838	CL0061	Methionine gamma-lyase 	Met_gamma_lyase	405.0	646.93
PF02774	CL0139	Semialdehyde dehydrogenase, dimerisation domain	Semialdhyde_dhC	158.0	87.93
PF08503		Tetrahydrodipicolinate succinyltransferase N-terminal	DapH_N	78.0	80.73
PF00290	CL0036	Tryptophan synthase alpha chain	Trp_syntA	228.0	92.45
PF05979		Bacterial protein of unknown function (DUF896)	DUF896	65.0	101.04
PF13302	CL0257	Acetyltransferase (GNAT) domain	Acetyltransf_3	140.0	75.08
PF00186	CL0387	Dihydrofolate reductase	DHFR_1	160.0	204.61
PF04519	CL0268	Polymer-forming cytoskeletal	Bactofilin	115.0	21.98
PF13520	CL0062	Amino acid permease	AA_permease_2	446.0	143.33
PF00849	CL0649	RNA pseudouridylate synthase	PseudoU_synth_2	138.0	92.98
PF07461	CL0084	Nicotine adenine dinucleotide glycohydrolase (NADase)	NADase_NGA	197.0	161.03
PF01266	CL0063	FAD dependent oxidoreductase	DAO	346.0	133.34
PF01120	CL0036	Alpha-L-fucosidase	Alpha_L_fucos	337.0	217.49
PF08267	CL0036	Cobalamin-independent synthase, N-terminal domain	Meth_synt_1	313.0	366.2
PF13556	CL0123	PucR C-terminal helix-turn-helix domain	HTH_30	59.0	57.94
PF01544		CorA-like Mg2+ transporter protein	CorA	289.0	186.49
PF10035	CL0089	Uncharacterized protein conserved in bacteria (DUF2179)	DUF2179	55.0	68.4
PF19618		Family of unknown function (DUF6123)	DUF6123	88.0	82.62
PF02286	CL0036	Dehydratase large subunit	Dehydratase_LU	552.0	1034.13
PF13274		Antitoxin SocA-like, Panacea domain	SocA_Panacea	89.0	68.74
